Word,Index
danke,1
Entschuldigung,1
wer,50

dieses und jenes,100
Dosenöffner,1000
Dickmilch,150
Sonnenstrahlen,1000
Dokumente,300
betrunken,300
aufgedreht,300
Kolanuss,1000
Schuhe,100
hässlich,300
halbes Kilo,100
beschweren,200
Erdnussbutter,1000
Erdnussöl,500
erkältet,400
verliebt,300
verdorben,1000
Fehler begehen,1000
Fluss,100
besser gehen,500
genügt,100
Tampons,1000
Beamter,500
Tag verbringen,500
Streichhölzer,1000
gut gehen lassen,500
Windeln,1000
lange sein,201
länger da sein,201
letzter,100
nass,300
Nieren,1000
Angestellter,1000
Mittagessen,50
Rônier-Palme,1000
Mittag essen,50
Bisaab,1000
österreicherisch,30
lieben,200
Pass,200
Abend essen,50
Abendessen,50
rechte Seite,500
schlichten,1000
Zigaretten,200